"cam_days","cams","location_type","commonName","EventID","RAI"
120,"F27","forest","Red Deer",19,15.8333333333333
120,"F28","forest","Red Deer",0,0
113,"F29","forest","Red Deer",0,0
120,"F30","forest","Red Deer",0,0
60,"F31","forest","Red Deer",21,35
28,"F32","forest","Red Deer",14,50
118,"F33","forest","Red Deer",18,15.2542372881356
120,"F34","forest","Red Deer",11,9.16666666666667
120,"F35","forest","Red Deer",17,14.1666666666667
120,"F36","forest","Red Deer",13,10.8333333333333
91,"F37","forest","Red Deer",24,26.3736263736264
44,"F38","forest","Red Deer",22,50
120,"F39","forest","Red Deer",66,55
120,"F40","forest","Red Deer",11,9.16666666666667
120,"F41","forest","Red Deer",9,7.5
100,"F42","forest","Red Deer",9,9
107,"F43","forest","Red Deer",0,0
120,"F44","forest","Red Deer",11,9.16666666666667
120,"F45","forest","Red Deer",19,15.8333333333333
120,"F46","forest","Red Deer",9,7.5
120,"F47","forest","Red Deer",34,28.3333333333333
117,"F48","forest","Red Deer",8,6.83760683760684
118,"F49","forest","Red Deer",10,8.47457627118644
64,"F50","forest","Red Deer",0,0
35,"F51","forest","Red Deer",39,111.428571428571
120,"F52","forest","Red Deer",14,11.6666666666667
120,"F53","forest","Red Deer",8,6.66666666666667
120,"F54","forest","Red Deer",11,9.16666666666667
118,"F55","forest","Red Deer",11,9.32203389830508
97,"F56","forest","Red Deer",30,30.9278350515464
48,"F57","forest","Red Deer",22,45.8333333333333
120,"F58","forest","Red Deer",0,0
120,"F59","forest","Red Deer",0,0
120,"F60","forest","Red Deer",8,6.66666666666667
120,"F61","forest","Red Deer",28,23.3333333333333
120,"F62","forest","Red Deer",0,0
103,"F63","forest","Red Deer",10,9.70873786407767
97,"F64","forest","Red Deer",19,19.5876288659794
120,"F65","forest","Red Deer",8,6.66666666666667
120,"F66","forest","Red Deer",8,6.66666666666667
120,"F67","forest","Red Deer",0,0
52,"F68","forest","Red Deer",52,100
116,"F69","forest","Red Deer",57,49.1379310344828
116,"F70","forest","Red Deer",11,9.48275862068965
120,"F71","forest","Red Deer",0,0
75,"F72","forest","Red Deer",12,16
120,"F73","forest","Red Deer",16,13.3333333333333
110,"F74","forest","Red Deer",16,14.5454545454545
120,"F75","forest","Red Deer",13,10.8333333333333
120,"F76","forest","Red Deer",9,7.5
79,"F77","forest","Red Deer",26,32.9113924050633
