"cam_days","cams","location_type","commonName","EventID","RAI"
120,"F27","forest","Roe Deer",10,8.33333333333333
120,"F28","forest","Roe Deer",0,0
113,"F29","forest","Roe Deer",14,12.3893805309735
120,"F30","forest","Roe Deer",13,10.8333333333333
60,"F31","forest","Roe Deer",6,10
28,"F32","forest","Roe Deer",20,71.4285714285714
118,"F33","forest","Roe Deer",20,16.9491525423729
120,"F34","forest","Roe Deer",7,5.83333333333333
120,"F35","forest","Roe Deer",0,0
120,"F36","forest","Roe Deer",16,13.3333333333333
91,"F37","forest","Roe Deer",0,0
44,"F38","forest","Roe Deer",15,34.0909090909091
120,"F39","forest","Roe Deer",6,5
120,"F40","forest","Roe Deer",46,38.3333333333333
120,"F41","forest","Roe Deer",20,16.6666666666667
100,"F42","forest","Roe Deer",7,7
107,"F43","forest","Roe Deer",0,0
120,"F44","forest","Roe Deer",0,0
120,"F45","forest","Roe Deer",27,22.5
120,"F46","forest","Roe Deer",11,9.16666666666667
120,"F47","forest","Roe Deer",0,0
117,"F48","forest","Roe Deer",19,16.2393162393162
118,"F49","forest","Roe Deer",19,16.1016949152542
64,"F50","forest","Roe Deer",0,0
35,"F51","forest","Roe Deer",0,0
120,"F52","forest","Roe Deer",7,5.83333333333333
120,"F53","forest","Roe Deer",7,5.83333333333333
120,"F54","forest","Roe Deer",6,5
118,"F55","forest","Roe Deer",0,0
97,"F56","forest","Roe Deer",0,0
48,"F57","forest","Roe Deer",16,33.3333333333333
120,"F58","forest","Roe Deer",6,5
120,"F59","forest","Roe Deer",15,12.5
120,"F60","forest","Roe Deer",28,23.3333333333333
120,"F61","forest","Roe Deer",0,0
120,"F62","forest","Roe Deer",0,0
103,"F63","forest","Roe Deer",6,5.8252427184466
97,"F64","forest","Roe Deer",8,8.24742268041237
120,"F65","forest","Roe Deer",12,10
120,"F66","forest","Roe Deer",16,13.3333333333333
120,"F67","forest","Roe Deer",0,0
52,"F68","forest","Roe Deer",0,0
116,"F69","forest","Roe Deer",0,0
116,"F70","forest","Roe Deer",6,5.17241379310345
120,"F71","forest","Roe Deer",6,5
75,"F72","forest","Roe Deer",6,8
120,"F73","forest","Roe Deer",16,13.3333333333333
110,"F74","forest","Roe Deer",8,7.27272727272727
120,"F75","forest","Roe Deer",27,22.5
120,"F76","forest","Roe Deer",0,0
79,"F77","forest","Roe Deer",6,7.59493670886076
119,"F78","forest","Roe Deer",16,13.4453781512605
119,"F79","forest","Roe Deer",9,7.56302521008403
120,"F80","forest","Roe Deer",10,8.33333333333333
101,"F81","forest","Roe Deer",0,0
120,"F82","forest","Roe Deer",0,0
120,"F83","forest","Roe Deer",11,9.16666666666667
120,"F84","forest","Roe Deer",0,0
120,"F85","forest","Roe Deer",0,0
120,"F86","forest","Roe Deer",0,0
68,"T27","trail","Roe Deer",6,8.82352941176471
117,"T28","trail","Roe Deer",0,0
120,"T29","trail","Roe Deer",13,10.8333333333333
120,"T30","trail","Roe Deer",0,0
120,"T31","trail","Roe Deer",0,0
120,"T32","trail","Roe Deer",0,0
120,"T33","trail","Roe Deer",0,0
120,"T34","trail","Roe Deer",0,0
120,"T35","trail","Roe Deer",0,0
120,"T36","trail","Roe Deer",0,0
100,"T37","trail","Roe Deer",6,6
120,"T38","trail","Roe Deer",11,9.16666666666667
120,"T39","trail","Roe Deer",7,5.83333333333333
120,"T40","trail","Roe Deer",9,7.5
120,"T41","trail","Roe Deer",16,13.3333333333333
120,"T42","trail","Roe Deer",7,5.83333333333333
120,"T43","trail","Roe Deer",13,10.8333333333333
120,"T44","trail","Roe Deer",6,5
120,"T45","trail","Roe Deer",25,20.8333333333333
120,"T46","trail","Roe Deer",10,8.33333333333333
120,"T47","trail","Roe Deer",8,6.66666666666667
120,"T48","trail","Roe Deer",12,10
67,"T49","trail","Roe Deer",0,0
73,"T50","trail","Roe Deer",0,0
120,"T51","trail","Roe Deer",6,5
44,"T52","trail","Roe Deer",14,31.8181818181818
120,"T53","trail","Roe Deer",8,6.66666666666667
89,"T54","trail","Roe Deer",9,10.1123595505618
120,"T55","trail","Roe Deer",6,5
120,"T56","trail","Roe Deer",6,5
111,"T57","trail","Roe Deer",6,5.4054054054054
120,"T58","trail","Roe Deer",6,5
120,"T59","trail","Roe Deer",0,0
120,"T60","trail","Roe Deer",21,17.5
