"cam_days","cams","location_type","commonName","EventID","RAI"
120,"F27","forest","Wild Boar",10,8.33333333333333
120,"F28","forest","Wild Boar",10,8.33333333333333
113,"F29","forest","Wild Boar",0,0
120,"F30","forest","Wild Boar",0,0
60,"F31","forest","Wild Boar",0,0
28,"F32","forest","Wild Boar",0,0
118,"F33","forest","Wild Boar",43,36.4406779661017
120,"F34","forest","Wild Boar",16,13.3333333333333
120,"F35","forest","Wild Boar",22,18.3333333333333
120,"F36","forest","Wild Boar",37,30.8333333333333
91,"F37","forest","Wild Boar",0,0
44,"F38","forest","Wild Boar",10,22.7272727272727
120,"F39","forest","Wild Boar",10,8.33333333333333
120,"F40","forest","Wild Boar",0,0
120,"F41","forest","Wild Boar",27,22.5
100,"F42","forest","Wild Boar",27,27
107,"F43","forest","Wild Boar",0,0
120,"F44","forest","Wild Boar",15,12.5
120,"F45","forest","Wild Boar",18,15
120,"F46","forest","Wild Boar",0,0
120,"F47","forest","Wild Boar",29,24.1666666666667
117,"F48","forest","Wild Boar",14,11.965811965812
118,"F49","forest","Wild Boar",13,11.0169491525424
64,"F50","forest","Wild Boar",0,0
35,"F51","forest","Wild Boar",18,51.4285714285714
120,"F52","forest","Wild Boar",36,30
120,"F53","forest","Wild Boar",10,8.33333333333333
120,"F54","forest","Wild Boar",0,0
118,"F55","forest","Wild Boar",13,11.0169491525424
97,"F56","forest","Wild Boar",11,11.340206185567
48,"F57","forest","Wild Boar",23,47.9166666666667
120,"F58","forest","Wild Boar",17,14.1666666666667
120,"F59","forest","Wild Boar",18,15
120,"F60","forest","Wild Boar",0,0
120,"F61","forest","Wild Boar",16,13.3333333333333
120,"F62","forest","Wild Boar",17,14.1666666666667
103,"F63","forest","Wild Boar",19,18.4466019417476
97,"F64","forest","Wild Boar",18,18.5567010309278
120,"F65","forest","Wild Boar",0,0
120,"F66","forest","Wild Boar",22,18.3333333333333
120,"F67","forest","Wild Boar",0,0
52,"F68","forest","Wild Boar",10,19.2307692307692
116,"F69","forest","Wild Boar",0,0
116,"F70","forest","Wild Boar",30,25.8620689655172
120,"F71","forest","Wild Boar",12,10
75,"F72","forest","Wild Boar",0,0
120,"F73","forest","Wild Boar",38,31.6666666666667
110,"F74","forest","Wild Boar",0,0
120,"F75","forest","Wild Boar",29,24.1666666666667
120,"F76","forest","Wild Boar",21,17.5
79,"F77","forest","Wild Boar",0,0
119,"F78","forest","Wild Boar",24,20.1680672268908
119,"F79","forest","Wild Boar",16,13.4453781512605
120,"F80","forest","Wild Boar",14,11.6666666666667
101,"F81","forest","Wild Boar",11,10.8910891089109
120,"F82","forest","Wild Boar",23,19.1666666666667
120,"F83","forest","Wild Boar",37,30.8333333333333
120,"F84","forest","Wild Boar",51,42.5
120,"F85","forest","Wild Boar",16,13.3333333333333
120,"F86","forest","Wild Boar",13,10.8333333333333
68,"T27","trail","Wild Boar",0,0
117,"T28","trail","Wild Boar",0,0
120,"T29","trail","Wild Boar",0,0
120,"T30","trail","Wild Boar",0,0
120,"T31","trail","Wild Boar",11,9.16666666666667
120,"T32","trail","Wild Boar",11,9.16666666666667
120,"T33","trail","Wild Boar",11,9.16666666666667
120,"T34","trail","Wild Boar",12,10
120,"T35","trail","Wild Boar",0,0
120,"T36","trail","Wild Boar",21,17.5
100,"T37","trail","Wild Boar",0,0
120,"T38","trail","Wild Boar",0,0
120,"T39","trail","Wild Boar",10,8.33333333333333
120,"T40","trail","Wild Boar",0,0
120,"T41","trail","Wild Boar",20,16.6666666666667
120,"T42","trail","Wild Boar",18,15
120,"T43","trail","Wild Boar",0,0
120,"T44","trail","Wild Boar",11,9.16666666666667
120,"T45","trail","Wild Boar",10,8.33333333333333
120,"T46","trail","Wild Boar",10,8.33333333333333
120,"T47","trail","Wild Boar",15,12.5
120,"T48","trail","Wild Boar",14,11.6666666666667
67,"T49","trail","Wild Boar",11,16.4179104477612
73,"T50","trail","Wild Boar",0,0
120,"T51","trail","Wild Boar",10,8.33333333333333
44,"T52","trail","Wild Boar",20,45.4545454545455
120,"T53","trail","Wild Boar",12,10
89,"T54","trail","Wild Boar",10,11.2359550561798
120,"T55","trail","Wild Boar",17,14.1666666666667
120,"T56","trail","Wild Boar",14,11.6666666666667
111,"T57","trail","Wild Boar",11,9.90990990990991
120,"T58","trail","Wild Boar",0,0
120,"T59","trail","Wild Boar",11,9.16666666666667
120,"T60","trail","Wild Boar",0,0
110,"T61","trail","Wild Boar",26,23.6363636363636
120,"T62","trail","Wild Boar",10,8.33333333333333
120,"T63","trail","Wild Boar",11,9.16666666666667
120,"T64","trail","Wild Boar",19,15.8333333333333
120,"T65","trail","Wild Boar",10,8.33333333333333
120,"T66","trail","Wild Boar",17,14.1666666666667
120,"T67","trail","Wild Boar",0,0
84,"T68","trail","Wild Boar",0,0
53,"T69","trail","Wild Boar",10,18.8679245283019
120,"T70","trail","Wild Boar",13,10.8333333333333
120,"T71","trail","Wild Boar",0,0
120,"T72","trail","Wild Boar",11,9.16666666666667
120,"T73","trail","Wild Boar",0,0
120,"T74","trail","Wild Boar",0,0
91,"T75","trail","Wild Boar",21,23.0769230769231
120,"T76","trail","Wild Boar",22,18.3333333333333
108,"T77","trail","Wild Boar",10,9.25925925925926
120,"T78","trail","Wild Boar",15,12.5
120,"T79","trail","Wild Boar",12,10
120,"T80","trail","Wild Boar",0,0
120,"T81","trail","Wild Boar",0,0
120,"T82","trail","Wild Boar",11,9.16666666666667
120,"T83","trail","Wild Boar",22,18.3333333333333
120,"T84","trail","Wild Boar",11,9.16666666666667
120,"T85","trail","Wild Boar",10,8.33333333333333
119,"T86","trail","Wild Boar",11,9.2436974789916
48,"F87","forest","Wild Boar",0,0
48,"T87","trail","Wild Boar",0,0
