ID,LAT,LONG,T_SEASON,TDIFF,T_SUMMER,T_WINTER,PRE_YEAR,PRE_SUMMER,PRE_WINTER,ELEV,SLOPE,ASPECT,TMIN_JUL,TMIN_JAN,PERC_SEA,SHRUB,SAVANNA,GRASS,LAKE,CROP,URBAN,MOSAIC,BARE,FOREST
9412,941750,-1291404,108.8,10.18,27.75,24.91,1760.31,702.97,33.59,0,0.02,345.02,21.6,24.08,66.4,0,0.07,0,0.06,0,0,0.06,0,0.15
3513,-358250,-1341404,139.11,14.72,28.43,24.8,1707.75,460.95,12.09,52.66,0,270,18.4,24.57,35,0,0.6,0,0.05,0,0,0,0,0
3013,-308250,-1341404,143.66,15.2,28.59,24.84,1527.1,404.56,10,11.87,0.02,90,18.34,24.54,19.52,0,0.73,0,0.07,0,0,0,0,0
1513,-158250,-1341404,151.76,15.26,29.23,25.19,1347.63,302.7,6,0,0.01,285.15,19.27,24.52,59.58,0,0.23,0,0.16,0,0,0.01,0,0
1013,-108250,-1341404,155.72,14.62,29.23,25.1,1301.92,285.81,6.73,28.49,0.02,331.24,19.67,24.81,63.32,0,0.37,0,0,0,0,0,0,0
9413,941750,-1341404,117.44,11.19,27.21,24.12,1756.78,698.72,33,59.38,0.04,311.68,20.33,24.1,0,0,0.91,0,0.03,0,0,0,0,0.06
3013,-308250,-1391404,157.44,16.42,28.97,24.86,1494.65,391.13,8.33,0,0.01,139.94,17.84,24.6,83.28,0,0.17,0,0,0,0,0,0,0
1013,-108250,-1391404,163.73,16.77,29.5,25.1,1397.66,334.47,6.2,21.15,0.05,299.09,18.66,24.71,4.08,0,0.96,0,0,0,0,0,0,0
5813,-58250,-1391404,173.21,16.18,28.96,24.36,1319.91,306.62,5.82,51.47,0.1,342.71,18.23,24.76,29.8,0,0.7,0,0,0,0,0,0,0
8213,-8250,-1391404,179.14,15.96,28.93,24.2,1261.69,534.33,2.71,8.51,0.12,21.93,17.87,24.9,45.8,0,0.54,0,0,0,0,0,0,0
2413,241750,-1391404,161.7,13.98,28.74,24.54,1411.92,548.2,25.18,0,0.02,355.06,19.74,24.92,96.18,0,0.04,0,0,0,0,0,0,0
9413,941750,-1391404,125.62,12.16,27.56,24.3,1764.95,698.44,33.64,31.59,0.05,267.05,20.05,24.03,0,0,0.96,0,0,0,0,0,0,0.04
3014,-308250,-1441404,182.82,18.66,29.2,24.4,1408.51,392.83,4.79,8.1,0.03,344.33,16.46,24.56,26.2,0,0.65,0,0.05,0.02,0.01,0.01,0,0
2514,-258250,-1441404,187.28,19.14,29.5,24.6,1371.54,380.09,5,12.77,0.03,7.21,16.69,24.5,40.2,0,0.58,0,0.02,0,0,0,0,0
2014,-208250,-1441404,184.4,19.1,29.66,24.79,1405.59,383.56,6.75,5.64,0.02,14.02,17.17,24.4,30,0,0.7,0,0,0,0,0,0,0
1514,-158250,-1441404,182.19,19.1,29.87,25.04,1452.47,387.55,5.12,3,0.03,336.6,17.63,24.48,7.82,0,0.92,0,0,0,0,0,0,0
1014,-108250,-1441404,181.68,18.85,29.52,24.67,1454.66,374.86,6.77,5.43,0.11,297.16,17.49,24.6,0,0,1,0,0,0,0,0,0,0
5814,-58250,-1441404,192.04,18.08,28.61,23.52,1370.99,339.09,6,222.48,0.14,313.42,16.63,24.22,0,0,1,0,0,0,0,0,0,0
8214,-8250,-1441404,197.77,17.58,29.09,23.91,1256.25,290,3,276.66,0.15,25.98,17.11,23.95,0,0,1,0,0,0,0,0,0,0
4114,41750,-1441404,198.11,17.11,29.12,24,1194.43,510.11,3,9.32,0.16,42.37,17.31,24.71,0,0,1,0,0,0,0,0,0,0
9114,91750,-1441404,196.94,16.6,28.83,23.71,1190.81,506.48,7,27.08,0.06,13.19,17.41,24.73,5.18,0,0.83,0,0.12,0,0,0,0,0
