weeks,iqscore,proficiency,money,points,irr,friends,early,credit,sex,age,salary,budget,continent
1.0,0.233586429,0.888544321,12,0.811526775,0.051418521,0.052218936,0.285374731,274.31,Female,24,6121,2040.1293,Africa
15.0,0.329725674,0.494180024,78,0.957571805,0.186057433,0.047674682,0.414094359,348.51,Female,32,4122,1373.8626,Asia
26.0,0.372837217,0.516010642,54,1.147787571,0.25789696,0.057016052,0.554468572,370.7,Female,29,4148,1382.5284,Asia
32.0,0.353545207,0.524476171,250,0.98152411,0.103271045,0.050537612,0.478497744,322.87,Female,25,4918,1639.1694,Europe
7.0,0.430215258,0.135845378,10,0.976755381,0.01,0.032540455,0.171041936,355.34,Female,24,8299,2766.0567,Europe
18.0,0.43984579,0.16234529,84,0.730874956,0.01,0.066036642,0.381240815,245.56,Female,23,2849,949.5717,Asia
50.0,0.298519571,0.727208495,250,1.030837536,0.128561065,0.047910057,0.504172504,305.9,Female,26,5128,1709.1624,Europe
10.0,0.29762755,0.533362508,41,1.055369139,0.168072522,0.03883525,0.242026716,289.58,Female,23,3834,1277.8722,
1.0,0.233586429,0.888544321,12,0.811526775,0.051418521,0.052218936,0.285374731,274.31,Female,24,6121,2040.1293,Africa
35.0,0.380296797,0.351448178,143,0.88389945,0.106812261,0.039405663,0.266314775,355.34,Female,24,5833,1944.1389,Europe
16.0,0.332973768,0.491789371,83,0.96328038,0.18948327,0.048841439,0.430530638,417.58,Female,33,4122,1373.8626,Asia
6.0,0.335259606,0.359651536,14,0.867727757,0.177420348,0.047380958,0.401450932,300.83,Female,25,5270,1756.491,Asia
11.0,0.301015159,0.651285887,191,1.010964513,0.10691566,0.04568781,0.43739894,337.98,Female,25,5021,1673.4993,Africa
2.0,0.264673465,0.374050915,22,0.989187121,0.1609184,0.076722905,0.686673522,417.58,Female,33,2754,917.9082,Asia
5.0,0.451645134,0.216607571,13,0.960529745,0.01,0.030088386,0.291952193,274.31,Female,24,8062,2687.0646,Africa
2.0,0.258035211,0.448003203,25,1.113334537,0.127013281,0.078210823,0.746711493,380.12,Female,34,2754,917.9082,Asia
9.0,0.489035819,0.229224756,16,0.757242441,0.081076227,0.049128078,0.264220297,274.31,Female,24,7410,2469.753,Europe
18.0,0.426999663,0.235534206,26,1.000581384,0.070192635,0.036320593,0.47027427,370.7,Female,29,4163,1387.5279,Asia
14.0,0.41401703,0.186672211,18,0.902606905,0.027473634,0.027345326,0.347724974,343.19,Female,28,6614,2204.4462,Asia
2.0,0.322223964,0.661948979,20,0.852126896,0.271386951,0.065718472,0.435144246,343.19,Female,28,2780,926.574,Europe
2.0,0.271135258,0.71595341,22,0.872517467,0.152898028,0.056070324,0.52875936,343.19,Female,28,5782,1927.1406,Africa
9.0,0.388127761,0.315919459,31,1.0,0.06721019,0.042970985,0.462401986,330.34,Female,25,6172,2057.1276,Asia
16.0,0.418622411,0.228140309,22,1.020004153,0.04954049,0.032700285,0.457619607,248.32,Male,22,5243,1747.4919,Europe
1.0,0.429382821,0.749710798,37,1.010116816,0.158981085,0.044356331,0.624166548,370.7,Female,29,4261,1420.1913,Africa
2.0,0.30879453,0.871876121,47,1.148725748,0.166882336,0.054934494,0.459071189,333.18,Female,31,5216,1738.4928,Asia
11.0,0.295883804,0.647812665,182,1.0,0.10431274,0.046433207,0.460520148,330.34,Male,25,5021,1673.4993,Asia
19.0,0.429025386,0.234646767,28,1.013528228,0.066686742,0.036326215,0.475820214,380.12,Female,34,4322,1440.5226,Africa
8.0,0.395160573,0.339255124,27,0.996791601,0.065721482,0.042527258,0.389047146,305.9,Female,26,6172,2057.1276,Europe
12.0,0.294887156,0.627489209,219,1.009609699,0.12551336,0.042150255,0.359707355,417.58,Female,33,5021,1673.4993,Africa
,0.385296251,0.325018287,8,0.981705487,0.188613608,0.030848645,0.519653738,322.87,Female,25,1643,547.6119,Africa
1.0,0.242240679,0.396474183,15,0.749877393,0.071708485,0.081409879,0.566569626,325.7,Male,27,2754,917.9082,Europe
36.0,0.363972951,0.508012891,250,1.005374551,0.10355337,0.052655827,0.412255168,417.58,Female,33,4951,1650.1683,Asia
11.0,0.489857448,0.27196455,32,1.043559909,0.0779939,0.046714254,0.404865235,337.98,Female,25,7410,2469.753,Asia
1.0,0.41129988,0.750513613,22,0.909781218,0.14922069,0.043946389,0.289289743,289.58,Female,23,4830,1609.839,Africa
4.0,0.38531139,0.366048306,8,0.962983668,0.221429914,0.031034237,0.53455168,248.32,Female,22,1643,547.6119,Africa
2.0,0.353051344,0.677965164,29,0.947191238,0.185274795,0.06205127,0.482249707,248.32,Male,22,2780,926.574,Asia
11.0,0.497236753,0.260117948,33,1.008202791,0.070583187,0.046346281,0.398392111,370.7,Female,29,7410,2469.753,Asia
1.0,0.232123527,0.408209831,13,0.672531962,0.043147109,0.092831276,0.393732458,273.4,Female,23,3298,1099.2234,Europe
10.0,0.29369263,0.719646275,120,0.945516765,0.106482767,0.051414497,0.28858766,245.56,Female,23,5051,1683.4983,Asia
37.0,0.37818498,0.374728709,161,0.938573182,0.124488905,0.042376749,0.318223476,325.7,Female,27,5750,1916.475,Europe
2.0,0.274049651,0.824103057,26,0.979655564,0.201882258,0.0563812,0.541584313,305.9,Female,26,5190,1729.827,Asia
12.0,0.509075383,0.248461381,44,1.055833697,0.083527327,0.044079401,0.360865206,417.58,Female,33,7410,2469.753,Asia
32.0,0.353545207,0.524476171,250,0.98152411,0.103271045,0.050537612,0.478497744,322.87,Female,25,4918,1639.1694,Europe
1.0,0.222235087,0.967175722,15,1.01054883,0.073474728,0.047834862,0.409613967,305.9,Female,26,6121,2040.1293,Africa
5.0,0.381835047,0.261392087,7,0.829051137,0.120860055,0.030483054,0.56869781,417.58,Female,33,1643,547.6119,Africa
18.0,0.397462855,0.387292624,80,0.956405461,0.106765561,0.04724722,0.393284857,325.7,Female,27,5027,1675.4991,Asia
5.0,0.381835047,0.261392087,7,0.829051137,0.120860055,0.030483054,0.56869781,417.58,Female,33,1643,547.6119,Africa
32.0,0.378553262,0.373042434,135,0.924892366,0.113210455,0.039080672,0.224655136,273.4,Female,23,5907,1968.8031,Europe
7.0,0.441150526,0.189922124,18,1.034752488,0.01,0.030326987,0.468441516,370.7,Female,29,8062,2687.0646,Africa
2.0,0.302255165,0.63509208,18,0.919385314,0.259270966,0.066808723,0.272917628,245.56,Female,23,2780,926.574,Africa
4.0,0.263241344,0.356660962,16,1.090388775,0.01,0.048128072,0.398362726,248.32,Male,22,4542,1513.8486,Africa
25.0,0.52385646,0.279534101,165,1.095926762,0.096264184,0.051465672,0.831586719,337.98,Female,25,2819,939.5727,Africa
2.0,0.322223964,0.661948979,20,0.852126896,0.271386951,0.065718472,0.435144246,343.19,Female,28,2780,926.574,Europe
7.0,0.439867621,0.187963009,17,1.0,0.01,0.028752102,0.463298351,330.34,Female,25,8062,2687.0646,Asia
1.0,0.343204393,0.362943947,14,0.640084743,0.077142991,0.084598489,0.551215291,343.19,Female,28,2754,917.9082,Asia
10.0,0.29762755,0.533362508,41,1.055369139,0.168072522,0.03883525,0.242026716,289.58,Female,23,3834,1277.8722,Africa
,0.439179798,0.305237591,154,0.943332076,0.144398034,0.046021346,0.413459539,337.98,Female,25,4812,1603.8396,Asia
6.0,0.343837552,0.316199183,12,0.782466531,0.162727818,0.04623707,0.356415629,325.7,Female,27,5312,1770.4896,Asia
45.0,0.431216264,0.323524147,137,0.960309088,0.17096816,0.045326643,0.372523963,322.87,Female,25,4424,1474.5192,Europe
15.0,0.32017466,0.519282222,71,0.985901952,0.172975555,0.045281518,0.491533279,380.12,Female,34,4045,1348.1985,Africa
4.0,0.339057148,0.381825477,6,0.809417069,0.193848118,0.033598952,0.35202837,274.31,Male,24,2319,772.9227,Africa
1.0,0.422061771,0.728233993,36,0.990365088,0.156770915,0.043808054,0.612326562,337.98,Female,25,4261,1420.1913,Europe
4.0,0.387484807,0.417187244,7,0.921328485,0.207176194,0.035732269,0.260315269,289.58,Male,23,2319,772.9227,
14.0,0.499782653,0.203831479,39,0.822072208,0.054269064,0.037381776,0.472290546,248.32,Female,22,5507,1835.4831,Europe
9.0,0.436526819,0.190177515,13,0.929248631,0.038338866,0.035414126,0.361828208,322.87,Female,25,6062,2020.4646,Europe
,0.52569383,0.246409088,60,1.079853535,0.111489676,0.036626596,0.577488422,370.7,Female,29,5507,1835.4831,Asia
35.0,0.396527541,0.324969828,81,0.866808176,0.220687151,0.04423672,0.322860628,245.56,Female,23,4793,1597.5069,Europe
19.0,0.429025386,0.234646767,28,1.013528228,0.066686742,0.036326215,0.475820214,380.12,Female,34,4322,1440.5226,Africa
